
sentiment,content
worry,"@MelissaLynnette naw, it doesnt match up LOL and i have no shenanigans to discuss...  but i did do the thing..."
worry,"@mayora not this part, unfortunately."
worry,"@soverpeck dude, i didn't know it was a personal experience. sorry something like that went down"
worry,@A_Lay aww well I just randomly woke up and now I can't sleep! Too many things on my mind
worry,@donperignon me too baby... Miss you
neutral,"@ddlovato Since obviously living in Alaska, only a few radio stations we get here."
hate,i just murdered two fucking mouses!!! now i cant sleep
neutral,"Oh noes.  hey, what's my tatoo say?"
neutral,@astynes I don't have a VCR...
sadness,@hammett I wish I could have time for my xbox  project all tied
worry,all my pancakes always end up soggy.
worry,"4 very big ???zongzi) for lunch, ate more, but not work more.Work less but eat more, what  can I do w/h it? Too useless become."
hate,"sososo bummed, like really bummed, i hate this rain, ruin my date..."
hate,"Working late at night on a Dell notebook, Dell's quality has gone down hill, warrenty service sucks too, poor people  buy a Mac instead"
surprise,Wow. That hurt way worse than i thought it would.
worry,Why do none of my thoughts make sense when I'm sober?
neutral,@MsAKAtainment I know right  but hopefully something comes up though
worry,I cant to sleep and tomorrow i must wake up too early
worry,"@JustDes As it is now, my body has already developed a mind of it's own but that mind refuses to co-operate with set schedules"
neutral,@claudiuvoicu supposed to be back Sun (via private jet btw#!:o) but mite hav to stay bymyself (thnk god) for another week  &amp; want Bruno!
sadness,And trash repops.  Getting it tomorrow night I suppose.
worry,Nursing bruises from motorbike crash on Wednesday night leaving London workplace. The ground is so much harder the older you get
worry,"so bored, i have a headache."
neutral,Huge headache...goodnight!!
sadness,feels like crap whenever she lays down. @)(1+-'$#! I hate heartburn &amp; backaches!
sadness,@katiefreeze I miss you!!!! It's lonely and empty without you!  http://yfrog.com/3o3zxoj
sadness,@lozzyx NOICE. I realised that after exams I have 2 more weeks  Forgot about the whole 2 weeks of Unit 4 in term 2 thing :/
neutral,"I justwatched like, 5 straight episodes of escaped on ID Discovery channel. A guy imprisoned 6 women, killed 2 and cooked them"
sadness,Missing Everyone
empty,"Should have gone to bed ages ago, damn you tedtalks!  Gotta get up early too"
neutral,its only 0.2! Just give me my 3 points!
hate,"@calvinharris make the most of pork products while you can, they've fucking stopped importing it here in dubai. bad times"
worry,another build failed! something is not right in the big scheme of things!
worry,"My wife took my last ï¿½20, no McDonalds breakfast for me today"
love,I wish I was going to we love sounds
sadness,My sisser is moving tomorrow and of makes me sad  actually I guess technically in a couple of hours since it's already Friday.
worry,I keep on falling asleep when I'm suppose to be awake. I miss my babyy..
neutral,@ryanhalloran why not?
worry,On my way to nottingham..I so don't want to be going
surprise,No churchill downs for me tomorrow
neutral,to Chicago... but why isn't my ride calling me back?
neutral,"K, goodnight! Gotta do Chuck E Cheese tomorrow following kindergarten shots and physical... Bla"
worry,I need to wake up earlier so I'm actually tired enough to fall asleep
surprise,Bahh the police ended the party @ 5!!  Just when i was starting....
neutral,I've got to catch the bus to work
sadness,@wired that is so sad
surprise,@Jordalynn omg you've never seen 'the Ring' its a creppy ass movie
surprise,mannnn..... @alllyy_ got an iphone!!! im jealous....
love,@kirstiealley funny u havent showed me any love yet at all
neutral,@pegbanditkitty absolutely nothin
love,@AnnetteStatus I luv urs! admitting niley with a kiss (: but then they change their minds  haha &amp; demi/sterling (: not jemi but still cute
neutral,@ecctv If it makes you feel better I lost 10 overnight cause I posted a picture of a baby
sadness,is still sick  sigh
worry,"@bethBABE4 Oh poor beths friend  i'm not naughty, i'm just unperfect."
surprise,Josh just called me a big bucket of ugly  wish me luck for my audition tweets!
sadness,i feel really weird
surprise,@future_perfect I'm trying to self learn photoshop but it's not going so well!
worry,@BrianLimond Ever seen the tv show Dead Like Me? I died and became a grim reaper. Taking people's souls after accidents
neutral,@scumm_boy I'm sorry  I'm thinking about you and hope the week gets better!
worry,Steam Punlk fashion show at Anime North and for the first year since TorCon we aren't back til @Anticipationsf &amp; missed it
sadness,my throat hurts  gonna go read and go to bed. text mee!
worry,I am dying to hangout on a Friday afternoon...
worry,Eh.. it's cold
neutral,mannnn..... @alllyy_ got an iphone!!! im jealous....  http://bit.ly/NgnaR
sadness,fjdskal im really frustrated.
neutral,"@regent_lord Aww, you should've YouTubed it."
sadness,Wondering how come mcdonalds take so long to deliver my food.
surprise,"@desdoulas Ya, the weather has been super weird here. It looked like it was gonna rain today but of course it didn't, darnitt,"
sadness,"@kenyaimagine ... much more injustice than we can imagine now. It will get worse before it gets better, I am afraid. No doubt here. Sorry"
neutral,Will miss nostalgia ... everyone please kick tushar
sadness,Sooo.....I'm kind of sick n tired of the bs that guys dish out  !!!!!!!!
worry,class color day tomorrow! last time!  I have a lot to remember for tomorrow but I bet I'll forget -_-
sadness,"@StarOnMaineSt idk lol my head hurts. rly bad. &amp; so does my stomach... hmm... personally, i think its from all the #s ive had 2 deal wit"
worry,@keytar @badtwin BUT THEY ARE EXPENSIVE.
hate,"WTF facebook just cleared out my whole survey and i was on the last q, this night gets better and better  what else is next?"
neutral,says good (or should i say bad?) afternoon!  http://plurk.com/p/wxpdj
neutral,says I've got number 10~  getting low~~ http://plurk.com/p/wxpdr
worry,Misses his twitastic fwiends
worry,@Deziree_Divine take my advice lookin through the phone cost me my relationship
fun,was playing street fighter IV and Seth Raped me
hate,Its weird being at the guy's house without them here. I don't like it
surprise,FUCK wasting deodorant... i aint goin no where... i aint havin company  let me funk it to ya!
neutral,@summer_eyes I wish I knew!  The curse of Tumblr.
sadness,what a beautiful day - shame I've got to spend it in an office
empty,I came with a q: &quot;any recommended hairdresser? U r full and they suggested me to others  &quot; His ego talked and I'm in d line
neutral,Business exam tomorrow
worry,"@WTF_JayR oh, i know how budgeting is."
sadness,Just finished watching the series return of the Chasers War on Everything - really quite crap compared to how it used to be
sadness,Wow just realized haven't checked Twitter since 9am when I saw my to-do list. Good news- got lot done. Bad news-don't know where day went
sadness,http://twitpic.com/664b7 - miss my bestfriend :'( now she left school
surprise,OUCH! my earphones just shocked me
empty,@allyycase I'm trying to sleep!!! It's not working
sadness,Tummy hurts
neutral,back from grimsby  it sucks bein back but was amazin wknd anyway!!
sadness,farewelling an employee tonight...
neutral,"@allysonalfonso haha, its under 18 :@ so ive got no one to go with  curse none of my friends liking TAI lol"
worry,"Gorgeous weather, but no bike"
sadness,"Morning all. The water heating's packed up, so i can't have a bath. I REALLY want a bath!"
sadness,@heavenlyriot Girls are confusing.
sadness,@ lyrically_Me   Why would you do that to me?!
love,"@jamasweetie06 see...u shouldn't be comin' 4 the city, u should be comin' 4 me"
sadness,Blackout in the city is never good
neutral,@angelazodiak Aww maybe i traumatized her.
happiness,"@wedplanworkshop . Flights already booked, plus its GGD2 1st birthday. Can't miss that ! especially as we missed GGD1"
hate,"@mrskutcher  Where I live, all the small markets deliver their day-old bread to the food bank, but times are really tough, even for me"
worry,"I have drunk hickups. I had a pretty laid back, great night. But I still can't help but be mad about the situation I put myself in"
worry,why do i think i have to take medicine cuz i was laughing to hard?. my head should not be in this much pain. i thought laughter was gud
neutral,Ugh. Too much happened today. I really need a hug
enthusiasm,boring. i wanna go for taekwando
enthusiasm,Watching Leno for the second to last time on the Tonight Show
neutral,@n3rin3 Ur pic is gone
worry,My tongue still hurts.  I need to sleep!!!
neutral,how do you twitter?
sadness,@half_a_mind Chris and I are staying in Glasgow instead cause there is absolutely no accomodation in Edinburgh due to the marathon
love,"I can't wait till it's Sunday, a new episode of Supernatural but then there are only 6 episodes left now"
neutral,@JWess awww  ok lol hopefully by than im still here and not back over in the states
sadness,@t_isfortammy Sad tweets are sad
worry,needs a little lie down. not feeling great today. boo
neutral,@djcoombs not at my workplace.   but a short-sleeved shirt is absolutely necessary today!
sadness,Have decided I just can't stand @GuyKawasaki's Alltop spam any longer.
worry,"its from all that anal sex, i forgot the lube. damn  may need to go to the E.R."
worry,Playn madden with austin. Im going to miss him..
sadness,i miss rich
sadness,Headache of the century coming- I can feel it  Fuck.
sadness,disappointed to know that I got the Silver Award. I want the GOLD award. I hate being second best.
worry,PLEASE MAKE THE LIVECHAT ON SATURDAY CUS I HAVE TO GO TO SCHOOL ON WEEKDAYS(5/6 AM here)   @Jonasbrothers
worry,"I want to go back to bed but have a child to look after!  I may sleep all of sunday, my enevitable hangover may require it!"
worry,I just got mad tired so no sex  sleepytime night!
boredom,"THIS TWITTER SHIT BORES ME, NOW I C Y I HAVEN'T BEEN ON HERE IN A MONTH"
neutral,does anyone know how to convert 6 est to Aus time? ROFL xD fucking radio disney
sadness,home from ice cream tweet-up (my very first tweet-up!) No pics because my camera battery died last night and i forgot to charge it
neutral,@sakshijuneja ok that's subtly saying i'm no longer a fave  temme 1 thing - did the firangs steal your vocab? ur eating words and how!
worry,"@scotty_mcc bye, Scotty!  i'm gonna miss you. ily&lt;333"
worry,New Comment On Jowki:  I wish I had the time to blog more often  http://cli.gs/ZzRe1P
worry,we can get a temporary tattoo. I would be totally sad if he died.
worry,@professor12 gray! .... i so feel neglected
worry,@Desert_Star95 oh so you know how I feel then  Damn representative for bank of america tried to make it sound like I did it. What a b ...
worry,is tired and cold and runny
sadness,@narain Dun wanna travel all the way there for lunch now. But yeah i have been there. Nice place. Missing Shan-e-Punjab though...
hate,Doing a mass cleanout of my room before rearranging it. Just sent mother out to buy me a bin and a bookshelf since mine sucks. Bad mood
sadness,@xMyLifesAStoryx rob got lucky that game he beat me 209-205
hate,"feeling really sick  watching the fifth element, and about to smoke a cigg. ugh i hate colds!"
surprise,Bah I don't think @bing's FB fan page will get to 7500
worry,someone save me!! i dont want to pack anymore
sadness,home from school had the shitest day today
love,@markiti The sweety sat on the table this morning...Just woke up! Very sweet! Oh...btw...I think i'll be home around 7 pm!!!  Xxx
worry,bruise on knee will make it hard to skate tomorrow.
sadness,"@hobosexual lol.  When I went to buy my new laptop in Feb., I already knew, lol, but I looked anyway and walked away sadfaced. :/"
neutral,FYI no internets until THURSTAG!!!! after saturday  i have a feeling i will become 800x more productive during those days.
sadness,Sitting by myself. Everyone took the good seats.
worry,NO FREE WIFI!?!? My vacay is ruined!!!!
sadness,@sfannah Ahhhhh  Well at least I'm up to!
love,@mattpro13 Maatt Havent spoken to you in ages dudeee  Dont forget bout ur Aussie fan  ;) lool. Love ya xx
sadness,@DHughesy ME! oh wait wrong state
surprise,"It's fucking cold here north now! It was like 77 DF yesterday where I was, here it's 37,4"
happiness,Are u missing ur frnds ? Hear to &quot;Manasellaam &quot; From Kulir100 Degree movie. Its amazing !!!  Nanbargale - Miss u guys !!!
worry,Trying to sleep without any pills... Not working. 3am and wide awake. But now it's too late to take them because I'll sleep til 3pm
worry,Phone will die soon. What to do now? Oh no!
sadness,Sorry was that mean
worry,Forgot my power cable at home today
surprise,Dogs eyes seem bad. Just forked out on new washing machine so why not a vets bill to top it off eh?!?!
worry,I can't sleep. I can't find my grandmother's quilt or locket. I'm sick at myself cause I may have lost them somehow. Or they were stolen
worry,@ZachMoore1 I thought I was going to see a pic of your clean car
worry,@hot30 i want to! but im not over 18 and t&amp;c says over 18's only  wanna make an exception for me ;)
worry,"@ingridkerr No, but it does amazing things with keeping all your online conversations in one place... unfortunately that place is Google"
sadness,"@rscheuer sorry, is only in spanish for the moment"
worry,@ddlovato Yayyyyyyyyyyy!!!!! but thats sp far away!
fun,must clear out my DVR... getting rid of it tomorrw.
hate,Bummed that F! F! F! broke up
neutral,I signed up for an account on a political website so I could post a comment but it isn't working.
neutral,How Come I Can Never Sleep Past?? Not Good
worry,@Sageey My public talk in July got canceled and I don't know why.
neutral,@typicalrouse I would but its like 1800 or 1000+ miles  gas prices are crazy im doing alpine next summer most def
worry,"Feeling so rough today, just want a cuddle and some sleep"
happiness,@cha_rade oh no the economy gotcha?  sorry but so happy that you got another one in LA!  Enjoy SoCal! Ahahaay! LOL
worry,"@portugaltheman Where'd the songs go on the site, I want &quot;Do You&quot; on this computer too"
sadness,has had the flu pass unto me by andy...went shopping and got fresh chicken for chicken soup...but no d&amp;d this sat ...is a sad panda
neutral,has an exam at 10am - I slept about 3 hours last night
sadness,not well
sadness,@Miss_Rain oh what the hell  way to tell me.
neutral,Wish I lived in or atleast relatively close to Ohio!   Haven't seen @SmallTown_Troy or @Derk_McLoven in almost a year.
sadness,@theblackestsea oh crap!!
happiness,so carlie came over and she fell asleep on me
neutral,@3Gguy and within a short time of the last clue all of them
neutral,my phone still doesnt tweet
neutral,"@blindcripple Good idea Brain, you can't not be on Twitter..."
sadness,@shaundiviney i didnt get the msg!! :'( but i bought princess
love,"Trying to learn how to do this &quot;twitter&quot; thing... I'll get there. Welcome to all my followers, though Im not that interesting"
neutral,@mrskutcher just checked library website and girl with dragon tattoo is checked out
surprise,"@movewithme lol ik they are, but i figure i've kept it for a year+ without needing virus software or to get it fixed  sigh"
worry,first puppy gone 2 new home.
sadness,"I'm so unhappy being here. I hate it. It's affecting everything. My relationships with people, my personality, my attitude..."
sadness,"There's Nothing To Do Right Now And I'm Tired But I Don't Want To Sleep. Cleaned Up Pretty Good, So Proud. At Least I'd Be A Good Janitor"
worry,feeling extremally ill
sadness,@Madush oh my... now im offended.  ha
relief,"Off work, trying to relax for about 30 mins before I've gotta go back to sleep"
hate,"@StonedSteve yes it was good 2 see them laught at each other,,but that poor lad asking his mum &amp; dad 2 kill him"
neutral,I'm at work
worry,&quot;my name is Tony!!!!!! ...not hey!!!!&quot; -  poor tony
neutral,"@portugaltheman @liftingfaces Where'd the songs go on the site, I want &quot;Do You&quot; on this computer too"
worry,back time.  I wish I was a teenager again. I wish I could feel healthy again. I can't remember what it's like to feel healthy anymore.
sadness,The 3d version of Up sold out   regular version it is!
worry,"@YEPNAYDEA I don't have ur #...anymore, I think!!"
sadness,@NickTheIntern my love!!! We still havn't done lunch together like we said we would.. I miss you my friend
happiness,"To all my friends: Im deeply sorry i'm moving, i will miss u all so very very much!"
surprise,Where is my bestie when i need him @iAmcertiPHIed
neutral,@CheetahmamiBia oooo ok   why  havent you accepted my friends request
worry,Damn i have something to say and no one is listening
neutral,just got home after killing a possum
worry,@Jessicaveronica OMG YAYA!!! we put you #5 please not the end of the year
worry,I miss the old healthy me and I am loosing faith that I ever will be again
fun,@Jukie_08 hell yeah! i missed u last nite  lol do u like my opinion?
worry,"gonna get off to try and catch some Z's, no more high school after tomorrow! which really sucks  i wish i didn.. http://tinyurl.com/lk9ag8"
neutral,... that's all
worry,Rawr and whatnot. I am having a godawful drawing night tonight... even less progress has been made than I expected.
happiness,@allyycase suuure
neutral,@anshprat yahoo maps! lots more to desire #yahoo
worry,I miss my daily quotes! Why don't i get them anymore? @sschabowski am I kicked from your mailinglist?
sadness,now aches &amp; chills have joined the party. Why couldn't the cold just go away? It had to get worse?
worry,@MateRiaLGirL1 I won't b hereeeeee. Imma b in georgia  and then I'm off to LA. Grrrrrr!
worry,"@sensonize ohh sorry , thats someone else's pic  my bad"
worry,"Missed my train by 5 secs  yesterdaynight knijp, jaap &amp; flashback. Now sitting on the blisters. If you know what I mean. ;)"
worry,Why am I still upppp????? LOL.  Work in less than 5 hours.
sadness,bed. with stomach ache
worry,@Bam_Hall Is that why you aint answer my call? Thought we were homies!?
worry,gnite  Fukn Nite * wanted sum {pinga} but couldn't get any
empty,@Tinkabellastar no. my school will start on June1.  two days to go. i still don't want. :l
neutral,"facebook quizzes are one cure of boredom haha, my teeth/mouth hurts"
sadness,lappy charger is completely dead... conserving what's left of the battery until i can afford to buy a new one
sadness,finally accepting the fact that all cute guys are taken
surprise,Summer Glau to appear in Dollhouse next year http://tinyurl.com/mnrezc... I still can't believe they won't renew TSCC
worry,"Finally watched the rest of The Guild Season 2. I always feel so sorry (and hopeful at the same time) for your char, @feliciaday"
neutral,@debbylovespr I've got one too  though i think mine was attributed to the seizure inducing color/light show in the movie The Soloist.
hate,@GoblinZA Can't access your site!
love,@craftjoshua I CAN'T!!! My heart aches for her children  I wanna adopt alexis
love,@TicketChoice lunch was going home to rest...not well today
neutral,goodnight everyone.
empty,those workmen extending R block can't start this early surely.. its 7:45am and already they're making a racket and woken me up!
sadness,@HazelAngeli @V0TR0N  too bad Vo got me sick I think  &amp; I don't even have meds to feel like you.
neutral,@IsaGoksu  http://yfrog.com/11z2ip  nothing there
empty,@Steinmoney      You'll be missed!!  Bring me back  a keychain!
enthusiasm,Only one more day of Jay Leno  que sad!
worry,"Just spoke to Keith Urban's record company, we can't get him on the show till we're back from holidays  sorry Jack, we're trying mate!"
worry,Summer Glau to appear in Dollhouse next year http://tinyurl.com/mnrezc ... I still can't believe they won't renew TSCC
sadness,Honza takes his flight back to the Czech Republic in the morning  I'm really going to miss him.
boredom,Not actually managed to purchase anything from the ovi store yet. Constant server error on check out
worry,@HoptonHouseBnB now theres a thought .... do you still get goldfish at the fair ?? not seen them for years
worry,@cocoy @mike_online That's the sad thing about it.
happiness,ah thats better snow patrol! now to be stuck indoors  still weekend coming up and fresh air excellent hope its sunny!
enthusiasm,Good morning my sexy twitter how's yall doing??? I'm gd but it's like 7:49am n I still wanna sleep
worry,"Oops, Corey saw my last tweet. I guess I'M not getting laid tomorrow."
surprise,@FriendlyFetus cause they changed man....
worry,feels disappointed..mahirap talaga mag-supervise ng tao..  http://plurk.com/p/wxqwa
worry,I dont get twitter  Someone help me!
happiness,"up early again  loads to do- but the suns out, hurrah!"
hate,Its so Fucking hot! Damn no air conditioning.
hate,@hillaryhatt I never liked that boy  Jerms!
neutral,"really, realy want a netbook. mrr. Techno-lust sucks"
happiness,@BevJack Babes it was sooo much fun!!  Thank you so much for making that happen!  Had fun with the ladies too!  Time went to fast.
sadness,Matty is le tired.
worry,watching two of my patients die tonight has put me in a funk. one was young.
neutral,@RichardGiles mine pools... just in someone elses pocket
worry,"The Aila Cyclone left my house in Calcutta with a broken sunshade, balcony and a huge branch of tree thru our bathroom window....."
worry,@hot30 guys why did paranoid drop out of the countdown?? thats so not fair  iv voted heaps for it!!!!!
sadness,@NellaGrl not really having a good night... missing my little girl...
empty,my knee is killing me  im off to bed!!
neutral,@ndrew10 I know!!!! He didn't ask me
sadness,Nite Tweeple.  Tomorrow will be day 25 at work.
neutral,@MrsSOsbourne Ozzy isn't following you yet
sadness,Ahh man up and getting ready for work  I wanna sleep!!!
sadness,@JasmineCJones  I was just thinking the same thing! I love our morning chats! We totally need 2 live 2gether full time. Lol
sadness,Wish I was at sri panwa now
fun,i wish i was at @angelcore's burning trees and trying on dresses...
fun,I just spent 2 hours playing TF2 and I don't think I'm any better at it than when I started.
worry,@tanyaDlove whats up? im sad  you didnt text today.
boredom,Tweeting from the tarmac at Cork Airport. Delayed
neutral,I hate TweetDeck when it reaches access limits
hate,"this sucks i'm tweetless...and i f'n hate money, why does it have to be an issue"
worry,"have to wear my glasses today, cos my right eye is swollen and i don't know why"
neutral,@ANAIZZ you might want to get some rest...i promise you wont retain the knowledge sleepy
worry,@lizhodgins I heard your moving to Sydney next year im not happy
hate,dam it keeps rainin on me
empty,wants to go home.
sadness,"wants to listen to musiq soulchild, but it is not on the iPod"
worry,"still has half a math worksheet, science WB pages + worksheet, and english to go! feels a sniffle and dry eyes coming along too."
sadness,i miss seeing fireflies.....
worry,Never has a chance of sleeping before midnight  my mind is so tired......
relief,@KevinDavis1914  .... It was just alriiightt
worry,happy to b home .. then my mind wanders an I can't sleep
love,i wanna be love drunk
worry,weebo is dying
worry,4 cases of swine flu!
worry,"@relly1 Hopfully a quiet one @ home,,, No cash to do anything  Then u coming 2 the pub 2moz 2 watch the Pups???"
worry,Got a flat on the way in today - Pot hole. Another thing to tick off the &quot;crap things that can happen in a week&quot; list
sadness,@Brookeleeadams hang in there- health should be priority #1 right now! i do hate seeing good people get mistreated so i'm genuinely sorry
worry,@FrankieTheSats people are pathetic  how do u know some one is trying?
happiness,@ColeDavid had  a little family party tonight   hope it rocked
worry,Complicated with a dream
relief,"@ddlovato, ahhhhhhh so excited for july 21 (: ecxept stupid australia won't get it til like decembbberrrrrrrr  but stilll ahhh! congratss."
sadness,Had a awesome time 2. Got2meet brandon rhyder! Unfortunatly i can't sleep n tomorrow.  back 2 the ole job. @pattymlt got my game face on!
sadness,@Saresa And I feel your pain.
surprise,"My Pandora is hitten hard, why can't real radio play great music like this"
sadness,2orw!!!!! Nooooooo I want to go back to Newcastle!!!!
relief,@kimberlymdg I had fun tonight! I'll leave you with this...Brandi Carlile will be in Dallas today.  We should just sneak into the show!
sadness,"bout to watch notorious cause that's how i'm feelin now. wish i could eat something, but i can't.  surgery tomorrow. no food til saturday"
surprise,Where are all you Motivated/Determined/wannabe sexy successful young professionals!??! I might really have to join a BNI if there is no1!
worry,"meh, almost didn't sleep, ain't finished anything, I'm close to cancel the Dokomi"
worry,"Hospitals unnerve me  ~  waiting for the Doc, flipping thru magazines  ~"
neutral,"@Wolfie85 @christelmcr Ah  sameway Yet,@mikeyway has 2006 votes ((.We need more vote :'D"
neutral,I want a Monte Cristo sandwich sooo... BAd!!!
worry,"Awake, no migrane (yey) but tummy is hurting, evil IBS"
neutral,Just finished watching &quot;Marley and Me&quot;
relief,@DHughesy ME! I wanted to go.
sadness,@Jessicaveronica you guys gonna tour with Short Stack again? I missed your last tour  Me friend went and said it was mad!
surprise,@hudaaaa eeeeeeeeeeeeee i jealous sia i didnt get to seee
neutral,@GeoffComma no fair
worry,@rsuenaga im not at litle oven tonight
surprise,arrrgh. i'm bored. so bored. there's nothing to do except slouch at the computer all day long.
worry,wow i'm really reallly ill
neutral,"Nina was on my lap, but just decided to jump off"
neutral,"the swine flu is in robina, gold coast"
sadness,I'm going to miss Miss Suhana
empty,Unstable broadband and electricity taking toll on my mental stability.
sadness,Why are the sinks in hospital toilets so low? Now the crotch of my grey suit is spattered with water! Just in time for Physio
worry,mary hates me again  i wana walmart it butno one wants to go
worry,is feeling really sick
surprise,"@mandy2610 and @esko yea, just confirmed that this game indeed is already patched...  LOL guess you'll have to help me tomorrow ;)"
love,@MaritessDeLeon aww tessy wanna hug?
neutral,Def wants to cuddle it out maybe play but has no one to do it with the bc is far away
worry,My face an my arms. Tragic. Seriously.
boredom,Feeling nauseous and can't sleep.
love,just got Up and going to get ready to go to meadowhall ;) can't believe my internet broke yesterday  GUTTED
worry,@andyclemmensen you didnt send me the text
hate,@MissMadalena err i think they're like 15 bucks a ticket cause its 3D too. too expensive
worry,Damnit. I have run out of candy coated books.
hate,Omg grr my parents left probably 15 minutes ago to belgium and typical i wake up a stupid o'clock
neutral,Gotta go back out there.
neutral,I don't remember what i text to twitter to get a list of commands  halp
love,I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough
fun,is it unny today or not? taking too long to decide haha. i wna get a tan
surprise,Gonna go watch Shorty Street &amp; then prison break marathon then bed maybe. Nobodies texting me!
neutral,@gettothefalcon i miss that too
worry,tummy hurts
sadness,I should go get a life. Sam just texted me 'Phuture tonight?'  http://sgBEAT.com/pic/81/
hate,Just watched The Goode Family premiere online... And I think this may be the last episode I watch. It's pretty amazingly mediocre  pass.
neutral,I cant watch anythgin till tonight
sadness,sad that will have to leave my beautiful apartment
surprise,"gonna dream about my prince charming tonight, n see if everything goes back to normal. I really hope so   &lt;3"
neutral,"@workhomexpert Nope, re-reading it all over again.     No offense meant"
surprise,wow i have no friends on twitter
sadness,@greco31 I've been trying not to think about that!
neutral,Jay Leno has one more show left as the host of The Tonight Show
worry,sitting in school  sucks to be me!
hate,and this stupid wireless wont work downstairs
hate,"Change my hairstyle,but it isn't good as it supposed to be N don't wealth that much money..  hate that hairdresser~~"
neutral,@TLuke08  sometimes going and doing other stuff cures that
worry,Ew I have creepy followers
love,@Snuva Mmmmmm I love curry. Don't have an Oregan though.
worry,Insomniaaaaaaa..... all night trying to get a sleep... no luck... and now have to work
neutral,..i graduate today
sadness,Waiting on the bus! I miss my car
sadness,"says I'm still dreaming about that Nikon D60..erRr!  *ate, kuya **PLEASE** lang* huhuh http://plurk.com/p/wxrx5"
neutral,@504chucky whats with u hating on becky soo much? ur bio says ur nice....guess not
worry,@Muhammad_Adel they didn't reply yet.. wait till they confirm.. in case somebody might have translated it already..
sadness,It is kind of lonely when nobody will answer their phone.
sadness,Rest In Peace  ADaM 12 &amp; GLeNN EPPS.... Gone but never forgotten... what a week ...Loud in da air 4 ya
worry,It was my baby bros last time singing in front of his school  im so so proud of him !!! but when did i get old  im only 22!
relief,@delta_goodrem should updatd her twitter
worry,http://twitpic.com/664oz - this is what happens when i have no models
worry,"can't find Skins on the stacks, @milosundae  90210/The Hills? wdyt?"
empty,@wettingfeld  guess I have to get dressed and be pretty then
empty,@makavellirayne nah the lights killed the mood now you got to get out my bed
hate,Have to go to work  typical sunshine and deep sleep; stupid friday.
neutral,@Salamandroid its not just you - its properly dragged this week
worry,I still miss him... And i dont think he's coming back
neutral,looks can be deceiving
sadness,"is having the worst week, things really do happen in threes"
empty,@meeksdigital haven't worked there for a long time but kinda miss it! I miss anna  seen her? i'll prob be in SLO most of the summer! you?
worry,My tummy still hurts  another cubs game tom...goood night.
sadness,@katrinalmoreno and im an idiot for missing their last show
love,wth is happening with my neck. this is definitely not stiff neck :|
love,Looking at old pictures... I love it &amp; miss the good ol days
neutral,Week-end is over and now it's time to get back to work
worry,@TreverKeith come back to Perth     I missed the show here!
surprise,@Katarinea Oh wow  ouch...
neutral,"Summer is about to end.  For some, it's just about to start. Hahah."
worry,My baby was so drunk I brought her home for an hour to pass out then carried her to the car
worry,@JonConnelly You can vote every 20 mins I'm on page 2   http://twurl.nl/hxux3o
worry,I can't find my ipod
neutral,"@toddh3284 T, im sooooo bored right now"
surprise,@ruthchu wat the! you were in riverside??
neutral,@CHARITY_GANT popularity contest and they think twitter will help.... and it's become trendy
neutral,madd bored
worry,"@allysonalfonso yeahh, yeah its the hifi lol. grr dads being a pain, he said if i dont find anyone to go with i cant go :@"
neutral,My wife can't get on the guest list for tomorrows show because it doesn't exist. LAME. I guess no wife at the show.
fun,"I just watched 7 pounds, maaaannnnnnnnn!"
sadness,@chuybe. you left me first .. and left your bed here for me to look at
worry,finally off to bed almost everything is packed gotta be up in about 6 hours to get ready for a double shift of work
worry,My throat hurts and I can't sleep.
worry,i pulled a muscle in my neck this morning just feels like its getting more sore
love,Just finished The Minish Cap. It's a great game! I'll miss Ezlo and Link.
sadness,"Bike trail - 1, Miss J - 0, two front teeth - 1 1/2.. Hopefully! Vacations suck!"
neutral,@jesssicababesss @IvanaE @RachelLock22 DECEMBER... thats like a year away...
worry,@yahyan where did you go babe?
sadness,Sadly I am bprohibiting myself from tweeting tonight. Sorry
hate,@anant24121986 it is so unfair that all the good rock shows happen only in B'lore and Pune
worry,its raining  now my hair will gett all gay
worry,@JERI7YN aww you're going back to east coast again?i haven't even seeen you!
relief,"missed all the awesome weather, because she was in a movie!"
neutral,Ugh cant sleep on  this bus.  still have like 5 hours
worry,Is feeling really bad about goofin' on @NinaParkerTMZ not knowing she really wasn't at the meeting! Dang I'm sorry! Me &amp; my big 'ol mouth
sadness,"@kesoleil Oh man, Did Yogg today. Worse than last week."
neutral,Alcohol does not promote weight loss.
boredom,Friday tubes at work are slow..
hate,almost everyone can suck my clit right about now. ive had it up to here with people fucking me over !
worry,@nassrenj I miss u guys too  I prob won't b bk til august sumtime... But if I come bk anytime b4 then ill 4 sure let u kno!
worry,Been up since 5am with my poorly sick baby girl
neutral,is up too early
fun,so much fun at the beach today!  and delicious dinner at @kimbononowowo's house!! i friggin love Mark and Josh!! I'm gonna miss them!!
neutral,3am i still cant sleep
relief,just got back from school.  SHEMMS!! Summer class has been officially ended.  http://plurk.com/p/wxsgy
worry,worried about Mr. Socks tonight.
hate,says BAD TRIP! (angry)  http://plurk.com/p/wxshi
worry,@JAYOJAY I'm straining to hear but it's very hard from all the way over here.
sadness,@anant25121986 it is so unfair that all the good rock shows happen only in B'lore and Pune
